text,label,send_freq,is_night
Thanks again for helping with 旅游!,0,0.5,0
晚上好，今天过得怎么样？,0,1.0,0
Thanks again for helping with 吃饭!,0,1.3,0
Can you grab 手表 on your way?,0,1.0,0
Can you grab 书包 on your way?,0,0.7,0
晚上想吃什么？我提议披萨。,0,1.1,1
你知道Patricia Salazar的电话号码是多少吗？,0,1.0,0
Work From Home Opportunity! Earn $1000/day. Apply now: http://thompson-mcdonald.cc/26sa5y5ci6wmzrd,1,2.3,1
很久不见，最近过得怎么样？,0,0.6,0
Reminder: 学习 tomorrow at 11:40:57.,0,0.5,0
URGENT! Your 网银 needs verification. Visit https://vip888.biz/m9ech1scu4 now!,1,1.8,1
Low stock alert for 冰箱! Get 9% off today only: http://shepherd-rosales.biz/n0ra5e14y6,1,3.8,0
您的银行卡账户安全存在风险，请立即http://white-hoffman.info/kaja601y1n验证身份,1,4.9,0
免费领取冰箱试用装，仅限76名，https://adams.org/jmclhm3登记,1,1.6,0
周末一起去超市旅游怎么样？,0,1.0,0
Invest in 理财 for 34% guaranteed returns! Call 902-761-5661.,1,4.0,0
Meeting confirmed for 周二.,0,1.2,0
URGENT! Your QQ needs verification. Visit https://stewart.com/6y99r8xdqdja63 now!,1,4.5,1
Quick question about the 电脑 from yesterday.,0,1.1,0
今天的工作完成了吗？需要帮忙吗？,0,0.6,0
今天散步之后，我买了些汉堡，你要吗？,0,1.1,0
孩子的书包你放在哪里了？我找不到。,0,0.6,0
紧急！您的驾驶证信息需要更新，请访问https://hill.xyz/89q75a6u4yyneoj,1,4.3,0
周末一起去超市看电影怎么样？,0,1.0,0
我昨天在公司遇到洪婷婷了！,0,0.3,0
"Hey Stephen Franklin, are you free for 旅游 around 15:23:54?",0,0.8,0
Can you grab 手机 on your way?,0,1.1,0
您的淘宝账号异地登录，请立即验证身份：http://martin.net/m00of7rgriuk,1,4.4,1
最新祛痘产品，解决痘痘问题，咨询15891167090,1,3.1,0
Just arrived at 餐厅. Where are you?,0,0.7,1
Weather forecast for tomorrow: 下雨. Don't forget 书包!,0,0.0,0
Meeting confirmed for 下午.,0,0.1,0
Let's catch up soon!,0,0.2,0
今天的购物真开心，下次再约！,0,1.0,0
Claim your FREE $2000 gift card! Limited spots. Go to: https://money365.com/lhc6cw Txt STOP to end,1,3.2,1
Invest in 代理 for 18% guaranteed returns! Call 18669037867.,1,1.7,1
Low stock alert for 洗衣机! Get 6% off today only: https://george-vasquez.net/h8ypwnn,1,2.2,0
特大优惠！冰箱只需699元，限时周一小时！https://novak-martinez.cc/q1vpifshx,1,3.5,0
刚看完《红楼梦》，真的很感动！,0,1.3,0
刚才忘了说，学习的时间改到上午了。,0,0.3,0
提醒你明天周二记得聚会。,0,0.4,0
晚上想吃什么？我提议寿司。,0,0.6,0
刚看完《红楼梦》，真的很轻松！,0,1.0,0
刚才忘了说，学习的时间改到晚上了。,0,0.2,1
Reminder: 讨论工作 tomorrow at 17:52:32.,0,0.7,1
恭喜您获得中国联通积分大奖，请拨打13331819329领取,1,3.3,0
您的QQ账号异地登录，请立即验证身份：https://cooper.com/jwqqz6xe3ex,1,4.3,1
你昨天说的衣服在哪里买的？,0,0.1,0
感谢你昨天帮我聚会，真是太感谢了！,0,0.9,0
家里的手机坏了，你知道哪里可以修吗？,0,0.2,0
URGENT! Your 微信 needs verification. Visit https://gold777.net/htpl3iqld04u99 now!,1,2.9,0
下班后我们在公园见面，可以吗？,0,0.2,0
特大优惠！电脑只需599元，限时周一小时！https://garcia.com/ackig8av,1,3.1,1
晚上好，今天过得怎么样？,0,1.3,1
快到元旦了，有什么计划吗？,0,0.1,1
今天的工作完成了吗？需要帮忙吗？,0,0.7,0
"Hey Kevin Bates, are you free for 看电影 around 19:12:29?",0,1.4,0
下班后我们在家里见面，可以吗？,0,0.4,0
恭喜您获得小米红包大奖，请拨打15100838529领取,1,3.8,0
Let's catch up soon!,0,1.0,1
You've won 优惠券! Call 15008724461 within 晚上 hours to claim. Ref:CQC877,1,4.4,1
傍晚旅游的事情安排好了吗？,0,0.6,0
Low stock alert for 相机! Get 1% off today only: http://peterson.cc/jxt6zq7wgal5,1,3.7,1
周末一起去公园讨论工作怎么样？,0,1.3,0
您的护照积分即将到期，请登录http://gregory-mason.cc/u36ph8bnq4查看详情,1,4.0,1
明天的天气预报说会晴天，记得带水杯。,0,1.3,0
你知道Tracey Alexander的电话号码是多少吗？,0,0.8,0
我已经到医院了，你什么时候到？,0,1.3,0
很久不见，最近过得怎么样？,0,0.9,1
提醒你明天周一记得讨论工作。,0,1.5,0
傍晚旅游的事情安排好了吗？,0,0.5,0
Can you grab 衣服 on your way?,0,1.0,0
明天的天气预报说会下雨，记得带电脑。,0,0.7,0
尊敬的用户，您的网银账户已被锁定，请点击https://park-taylor.info/jh4yz解锁,1,3.8,0
刚才忘了说，吃饭的时间改到周三了。,0,0.7,0
Security Alert: Unusual login attempt on your 抖音 account. Secure here: http://hunt.com/lhcvkjwpyz,1,3.9,0
Security Alert: Unusual login attempt on your 微信 account. Secure here: http://torres-davis.net/gw82i877ngddt,1,1.4,0
Meeting confirmed for 周三.,0,0.5,0
限时特惠：充值20000元送优惠券，活动仅剩周三小时！http://banks.net/ei5jq,1,2.8,0
提醒你明天凌晨记得讨论工作。,0,1.3,0
很久不见，最近过得怎么样？,0,0.4,0
今天周二的会议记得参加。,0,1.4,0
系统检测到您的平板存在异常，请立即https://schwartz-kerr.com/005x44p1j修复,1,0.7,1
恭喜您获得中国联通礼品卡大奖，请拨打001-973-311-7988x49274领取,1,2.9,1
你昨天说的衣服在哪里买的？,0,0.1,0
明天的天气预报说会起雾，记得带衣服。,0,0.2,0
晚上好，今天过得怎么样？,0,0.3,0
Reminder: 聚会 tomorrow at 20:06:05.,0,0.1,0
Weather forecast for tomorrow: 日晒. Don't forget 电脑!,0,0.7,0
我这边准备好了钥匙，你什么时候来取？,0,0.7,0
孩子的电脑你放在哪里了？我找不到。,0,0.5,1
Let's catch up soon!,0,1.4,0
晚上好，今天过得怎么样？,0,1.0,0
刚才忘了说，聚会的时间改到周一了。,0,1.4,0
你知道孙慧的电话号码是多少吗？,0,0.7,0
Low stock alert for 电脑! Get 5% off today only: https://silva.com/qe6ghwdg5l9,1,2.3,0
尊敬的用户，您的公积金账户已被锁定，请点击https://rodriguez.xyz/hfwzl6djnyx解锁,1,4.6,1
孩子的眼镜你放在哪里了？我找不到。,0,1.3,0
能帮我带一下眼镜吗？我在咖啡厅等你。,0,0.9,0
你昨天说的钥匙在哪里买的？,0,1.2,0
家里的眼镜坏了，你知道哪里可以修吗？,0,0.3,0
You've won 折扣券! Call 313-927-8565x04971 within 下午 hours to claim. Ref:4EQEPY,1,3.3,1
You've won 优惠券! Call 7716998578 within 中午 hours to claim. Ref:6JIEFB,1,3.5,0
Security Alert: Unusual login attempt on your 淘宝 account. Secure here: https://horton.xyz/4z1uc16sgqbf,1,1.0,0
下班后我们在商场见面，可以吗？,0,1.1,0
Invest in 投资 for 19% guaranteed returns! Call 13966500804.,1,4.9,1
Claim your FREE $8000 gift card! Limited spots. Go to: http://hernandez-collins.top/mf6t4pk20sk2xbu Txt STOP to end,1,2.1,1
Low stock alert for 电脑! Get 5% off today only: http://drake-miller.org/hm1ign,1,4.8,1
Did you see the 《西游记》? What did you think?,0,0.0,0
下班后我们在医院见面，可以吗？,0,0.5,0
今天的工作完成了吗？需要帮忙吗？,0,0.9,0
周一吃饭的事情安排好了吗？,0,0.0,0
我昨天在商场遇到Jason Smith了！,0,1.0,0
Low stock alert for 耳机! Get 1% off today only: http://lucky666.com/t3ftu7,1,1.9,0
能帮我带一下眼镜吗？我在电影院等你。,0,1.5,0
快到元旦了，有什么计划吗？,0,0.8,0
家里的钱包坏了，你知道哪里可以修吗？,0,1.5,0
Invest in 加盟 for 34% guaranteed returns! Call +1-769-562-1267.,1,4.9,0
紧急通知：您的银行卡已被风险，请立即https://gutierrez.cn/v7klvse处理,1,3.5,0
Claim your FREE $20000 gift card! Limited spots. Go to: https://mathis-scott.net/t858fj5a3x6s Txt STOP to end,1,4.1,0
今天的工作完成了吗？需要帮忙吗？,0,0.7,0
很久不见，最近过得怎么样？,0,0.3,0
Can you grab 电脑 on your way?,0,1.5,0
Low stock alert for 平板! Get 5% off today only: http://flores.cn/4e1jxkegu3hdxn4,1,2.6,0
你好，胡旭！中午我们开会，你有空吗？,0,1.4,0
明天的天气预报说会雷雨，记得带手表。,0,0.8,0
今天旅游之后，我买了些饺子，你要吗？,0,0.7,0
尊敬的会员，您有37积分未使用，即将过期，http://rich365.org/8mkh1m查询,1,3.7,0
你知道Collin Maldonado的电话号码是多少吗？,0,0.2,0
你好，江鹏！傍晚我们讨论工作，你有空吗？,0,0.2,0
周一聚会的事情安排好了吗？,0,1.0,0
重要：税务局部门紧急通知，请查看http://garcia.net/5fzelhelvmiu301,1,2.0,1
我已经到电影院了，你什么时候到？,0,1.0,0
恭喜您获得小米代金券大奖，请拨打787-316-9657领取,1,0.8,1
Did you see the 《哈利·波特》? What did you think?,0,0.4,0
Work From Home Opportunity! Earn $2500/day. Apply now: http://diamond999.cc/f83t78b,1,2.6,0
今天下午的会议记得参加。,0,0.6,0
Quick question about the 电脑 from yesterday.,0,0.8,0
很久不见，最近过得怎么样？,0,0.2,0
我刚才看到你发的电脑，真不错！,0,0.6,0
恭喜您获得中国移动现金大奖，请拨打217.961.7058领取,1,2.8,0
家里的衣服坏了，你知道哪里可以修吗？,0,0.0,0
我刚才看到你发的手机，真不错！,0,0.9,0
尊敬的客户，您有一笔20000元退款未领取，请联系908.553.8532x356,1,1.7,0
Let's catch up soon!,0,1.1,1
你知道Kathy Nichols的电话号码是多少吗？,0,0.3,0
今天周一的会议记得参加。,0,0.3,0
Just arrived at 公司. Where are you?,0,1.1,1
投资新机遇：分销项目年回报率43%，咨询电话692.536.3162x01943,1,1.8,0
系统检测到您的驾驶证存在异常，请立即http://fortune666.net/a8ysut0rxp0j7修复,1,2.2,1
URGENT! Your 微信 needs verification. Visit http://bonus777.com/gzjm1d1o81u now!,1,4.1,0
您的微博账号异地登录，请立即验证身份：https://pope.com/jea7j5gk8kq6x,1,4.1,0
我昨天在学校遇到Nancy Stephens了！,0,0.4,1
Let's catch up soon!,0,0.4,0
你昨天说的钥匙在哪里买的？,0,1.3,0
早上购物的事情安排好了吗？,0,0.9,0
Work From Home Opportunity! Earn $3000/day. Apply now: https://harper.xyz/spylz,1,5.0,1
Security Alert: Unusual login attempt on your 微博 account. Secure here: https://smith.net/2e1k9dfl,1,1.1,0
您的快递已滞留，请缴纳80000元保管费，联系585.241.4367x7219,1,2.6,0
Meeting confirmed for 凌晨.,0,0.2,0
Let's catch up soon!,0,0.1,0
孩子的电脑你放在哪里了？我找不到。,0,1.5,0
晚上好，今天过得怎么样？,0,0.1,0
系统检测到您的平板存在异常，请立即http://fortune666.com/0bl2nv修复,1,1.2,1
Can you grab 钱包 on your way?,0,0.9,0
车子在公司停好了，钥匙我放在衣服里了。,0,0.8,0
You've won 充值卡! Call (600)313-9023 within 早上 hours to claim. Ref:XMBCRW,1,3.0,1
Work From Home Opportunity! Earn $2500/day. Apply now: https://wealth888.cc/wet2w2ugamazv,1,4.8,1
您的保健保险即将到期，续保享特惠，详情咨询15993656238,1,1.3,0
Can you grab 眼镜 on your way?,0,0.6,0
刚才忘了说，散步的时间改到周一了。,0,0.5,0
Work From Home Opportunity! Earn $1200/day. Apply now: https://rich365.top/2nptp332o,1,3.2,0
Work From Home Opportunity! Earn $1800/day. Apply now: http://bass.net/9adhds1puehq9,1,3.1,1
刚看完《活着》，真的很放松！,0,1.3,0
Reminder: 散步 tomorrow at 00:42:27.,0,0.9,0
明天出门记得带手表，天气预报说会雷雨。,0,1.0,0
今天周二的会议记得参加。,0,0.8,0
"Hey Jason Miller, are you free for 运动 around 17:39:33?",0,1.5,0
孩子的眼镜你放在哪里了？我找不到。,0,0.9,0
周末一起去家里开会怎么样？,0,0.2,0
你好，吴秀云！周二我们购物，你有空吗？,0,0.6,0
Claim your FREE $80000 gift card! Limited spots. Go to: https://mckenzie.info/sqlbjd Txt STOP to end,1,3.0,0
Quick question about the 钱包 from yesterday.,0,0.8,1
Weather forecast for tomorrow: 日晒. Don't forget 眼镜!,0,0.9,0
你好，范海燕！晚上我们学习，你有空吗？,0,1.4,0
我这边准备好了雨伞，你什么时候来取？,0,1.1,0
官方认证：传销轻松赚取80000元，详情http://pena.com/9jgoai12w7rxf1,1,0.9,0
下班后我们在公园见面，可以吗？,0,0.1,0
提醒你明天傍晚记得购物。,0,0.5,0
刚看完《西游记》，真的很感动！,0,0.5,0
Quick question about the 书包 from yesterday.,0,0.3,0
我刚才看到你发的钱包，真不错！,0,0.8,1
恭喜！您已被选为中国联通新品体验官，免费获得智能手表，http://cash111.cn/3mfxcaxe4s登记,1,4.6,1
我已经到家里了，你什么时候到？,0,1.1,0
文案高薪职位招聘，日薪2500元，联系(797)409-8777x7122,1,1.9,1
今天的旅游真开心，下次再约！,0,0.5,0
You've won 礼物! Call 15762901340 within 周三 hours to claim. Ref:2MIGNM,1,3.5,0
能帮我带一下眼镜吗？我在餐厅等你。,0,0.2,0
今天的工作完成了吗？需要帮忙吗？,0,0.8,0
Reminder: 开会 tomorrow at 18:01:00.,0,1.2,0
下班后我们在学校见面，可以吗？,0,0.5,0
下班后我们在公园见面，可以吗？,0,0.6,0
你知道Joyce Rodriguez的电话号码是多少吗？,0,0.9,0
最新音箱已到货，前28名购买者享受1折优惠！https://cooper-eaton.top/a4c0d7dlrmf4z,1,1.8,1
最新减肥产品，解决色斑问题，咨询820.841.9449,1,0.6,0
特价机票：广州到东京只需299元，https://vargas-davila.com/45aerb8bmlxjr预订,1,1.5,1
车子在餐厅停好了，钥匙我放在水杯里了。,0,0.4,1
You've won 代金券! Call 13357835674 within 中午 hours to claim. Ref:KAJKXZ,1,2.9,1
Did you see the 《西游记》? What did you think?,0,1.2,0
Low stock alert for 平板! Get 1% off today only: https://davidson.org/s733xsee43c,1,1.1,1
能帮我带一下电脑吗？我在学校等你。,0,0.0,1
Weather forecast for tomorrow: 雷雨. Don't forget 电脑!,0,0.6,0
重要：工商局部门紧急通知，请查看http://gold777.net/771sdx8w8p10,1,4.5,1
你昨天说的雨伞在哪里买的？,0,0.6,1
下班后我们在医院见面，可以吗？,0,0.6,0
You've won 折扣券! Call (345)544-4466 within 上午 hours to claim. Ref:9L2VQZ,1,2.5,0
Weather forecast for tomorrow: 晴天. Don't forget 钥匙!,0,1.4,0
在吗？我想问一下那个项目的进度？,0,1.3,0
Security Alert: Unusual login attempt on your 抖音 account. Secure here: http://rios.com/hg2a3njcyzjav,1,1.7,1
快到端午节了，有什么计划吗？,0,1.1,1
请问一下最近的安排？什么时候方便回复我？,0,0.7,0
紧急！您的驾驶证信息需要更新，请访问https://miller.net/6mzzsxlv,1,2.5,0
You've won 折扣券! Call 18277652780 within 中午 hours to claim. Ref:6WLF62,1,1.3,0
我这边准备好了手机，你什么时候来取？,0,1.2,0
提醒你明天傍晚记得学习。,0,0.4,1
孩子的手表你放在哪里了？我找不到。,0,0.8,0
下午学习的事情安排好了吗？,0,1.2,0
你知道丁宇的电话号码是多少吗？,0,1.2,0
我昨天在超市遇到Gregory Smith了！,0,0.4,0
今天看电影之后，我买了些汉堡，你要吗？,0,0.7,0
我昨天在公司遇到Julian Phillips了！,0,1.1,0
URGENT! Your 社保 needs verification. Visit https://diamond999.cc/c61mzi2s now!,1,4.0,0
You've won 现金! Call 655.813.1075 within 早上 hours to claim. Ref:R5XZU5,1,1.5,1
车子在学校停好了，钥匙我放在钥匙里了。,0,1.5,0
我刚才看到你发的钥匙，真不错！,0,0.6,0
我昨天在咖啡厅遇到吕秀荣了！,0,1.3,0
今天的讨论工作真开心，下次再约！,0,1.4,0
Did you see the 《西游记》? What did you think?,0,1.4,1
今天聚会之后，我买了些米饭，你要吗？,0,0.3,1
我这边准备好了水杯，你什么时候来取？,0,0.6,0
URGENT! Your 公积金 needs verification. Visit http://martin.xyz/fqa7yambj1cd3xx now!,1,3.2,0
刚才忘了说，学习的时间改到周一了。,0,0.6,0
URGENT! Your 银行卡 needs verification. Visit https://garcia-roach.net/uqzcy now!,1,4.7,1
今天周三的会议记得参加。,0,0.1,1
我这边准备好了眼镜，你什么时候来取？,0,0.6,0
车子在公司停好了，钥匙我放在眼镜里了。,0,0.5,0
Just arrived at 超市. Where are you?,0,0.4,1
最新保健产品，解决黑眼圈问题，咨询822.343.7271x9199,1,1.2,0
今天的购物真开心，下次再约！,0,1.2,0
我已经到咖啡厅了，你什么时候到？,0,0.6,0
你好，张荣！周二我们讨论工作，你有空吗？,0,1.1,0
很久不见，最近过得怎么样？,0,1.0,0
Reminder: 讨论工作 tomorrow at 04:57:10.,0,0.9,0
快到情人节了，有什么计划吗？,0,0.1,0
我这边准备好了手机，你什么时候来取？,0,1.1,0
明天的天气预报说会下雪，记得带手表。,0,0.4,0
明天的天气预报说会雷雨，记得带钥匙。,0,1.1,0
警告：您的社保出现异常交易，请立即http://wealth888.net/hscyuui2squegv冻结账户,1,3.5,1
重要：环保局部门紧急通知，请查看https://gilbert-roberts.com/1i134ofdfu4xieu,1,4.8,1
我昨天在咖啡厅遇到Brian Mendoza了！,0,0.6,0
URGENT! Your 银行卡 needs verification. Visit http://sutton.com/k65rk9q now!,1,1.6,0
今天的运动真开心，下次再约！,0,1.0,0
我已经到学校了，你什么时候到？,0,1.3,0
中国移动年终促销，全场2折，先到先得！https://wright-cunningham.xyz/xxezj9d9xh,1,3.5,0
Invest in 理财 for 49% guaranteed returns! Call 18714467297.,1,1.1,0
Claim your FREE $30000 gift card! Limited spots. Go to: http://murphy.com/kkgod Txt STOP to end,1,4.4,0
你好，April Howe！周二我们散步，你有空吗？,0,1.0,0
孩子的手机你放在哪里了？我找不到。,0,0.1,0
Meeting confirmed for 早上.,0,1.2,0
周二开会的事情安排好了吗？,0,0.2,1
Can you grab 雨伞 on your way?,0,1.4,0
我昨天在学校遇到Jennifer Farmer了！,0,0.5,0
快到情人节了，有什么计划吗？,0,1.3,0
孩子的钥匙你放在哪里了？我找不到。,0,1.2,0
今天的学习真开心，下次再约！,0,0.6,0
Security Alert: Unusual login attempt on your 百度 account. Secure here: https://haley.net/ck745izubbelwj,1,4.7,0
Security Alert: Unusual login attempt on your 快手 account. Secure here: http://lyons-dillon.com/3k1vn3n070,1,4.0,1
Invest in 传销 for 47% guaranteed returns! Call 18779324709.,1,3.0,0
"Hey 王磊, are you free for 购物 around 09:29:50?",0,0.9,0
周末一起去学校看电影怎么样？,0,0.9,0
紧急通知：您的护照已被挂失，请立即http://win123.com/kstuja19l处理,1,3.9,1
URGENT! Your 支付宝 needs verification. Visit https://saunders.com/k4t7rmaik now!,1,1.7,0
你好，管阳！中午我们学习，你有空吗？,0,1.4,0
我这边准备好了手机，你什么时候来取？,0,1.2,0
Can you grab 雨伞 on your way?,0,1.1,0
周末一起去商场散步怎么样？,0,1.4,0
刚看完《红楼梦》，真的很满意！,0,1.0,0
刚看完《西游记》，真的很满意！,0,1.1,0
明天出门记得带眼镜，天气预报说会日晒。,0,1.5,1
You've won 优惠券! Call 731.237.6598x491 within 下午 hours to claim. Ref:7AIKGT,1,1.8,0
Work From Home Opportunity! Earn $2500/day. Apply now: https://mason-clark.com/occ76x,1,1.3,1
今天的工作完成了吗？需要帮忙吗？,0,1.1,0
我昨天在商场遇到Heather Clark了！,0,0.8,0
You've won 积分! Call 18039788394 within 周一 hours to claim. Ref:Q3SVJ0,1,2.0,1
特价机票：深圳到东京只需599元，http://jackpot777.top/myx37j1het预订,1,2.5,0
Let's catch up soon!,0,0.5,0
晚上好，今天过得怎么样？,0,0.3,0
明天的天气预报说会刮风，记得带手机。,0,0.7,0
你昨天说的电脑在哪里买的？,0,0.8,0
能帮我带一下手表吗？我在医院等你。,0,0.3,0
你知道郑淑兰的电话号码是多少吗？,0,0.7,0
You've won 积分! Call 13111774198 within 早上 hours to claim. Ref:EX4Z79,1,2.8,0
在吗？我想问一下上次说的事情？,0,1.0,0
恭喜获得大奖！点击领取 www.gift999.com/vtvbuove4qy7eza,1,1.7,0
您的微信账户安全存在风险，请立即https://rice.org/5hs9if46验证身份,1,4.2,0
晚上好，今天过得怎么样？,0,1.4,1
请问一下那本书的名字？什么时候方便回复我？,0,1.0,0
车子在超市停好了，钥匙我放在钥匙里了。,0,1.1,0
家里的书包坏了，你知道哪里可以修吗？,0,0.6,0
孩子的钥匙你放在哪里了？我找不到。,0,0.4,0
今天周一的会议记得参加。,0,1.2,0
刚看完《哈利·波特》，真的很兴奋！,0,1.1,1
周末一起去家里开会怎么样？,0,1.2,0
恭喜您获得小米现金大奖，请拨打(753)273-1582领取,1,3.6,1
今天的工作完成了吗？需要帮忙吗？,0,1.0,0
周末一起去公园讨论工作怎么样？,0,0.9,0
晚上想吃什么？我提议饺子。,0,1.2,0
免费领取音箱试用装，仅限43名，https://webster.com/3k07co登记,1,0.9,0
Claim your FREE $20000 gift card! Limited spots. Go to: https://murphy-shields.com/uv144 Txt STOP to end,1,1.1,1
平安保险年终促销，全场7折，先到先得！http://hall.xyz/1dwzvb965nn,1,1.3,0
今天旅游之后，我买了些米饭，你要吗？,0,1.0,0
最新智能手表已到货，前28名购买者享受9折优惠！https://ballard.cc/x6bpz3o52i1bd,1,3.5,1
很久不见，最近过得怎么样？,0,0.1,0
家里的书包坏了，你知道哪里可以修吗？,0,0.4,0
